75_part2_sec69_frame0_player_1.jpg: H=34, S=136, V=15
75_part2_sec69_frame1884_player_0.jpg: H=100, S=18, V=43
75_part2_sec69_frame1884_player_2.jpg: H=9, S=138, V=50
75_part2_sec69_frame1896_player_1.jpg: H=95, S=49, V=31
75_part2_sec69_frame1896_player_2.jpg: H=10, S=125, V=57
75_part2_sec69_frame1896_player_3.jpg: H=120, S=26, V=39
75_part2_sec69_frame192_player_2.jpg: H=143, S=68, V=34
75_part2_sec69_frame192_player_3.jpg: H=131, S=114, V=38
75_part2_sec69_frame192_player_4.jpg: H=130, S=57, V=40
75_part2_sec69_frame1920_player_0.jpg: H=75, S=24, V=43
75_part2_sec69_frame1932_player_0.jpg: H=90, S=25, V=41
75_part2_sec69_frame1932_player_3.jpg: H=135, S=13, V=38
75_part2_sec69_frame1944_player_0.jpg: H=114, S=26, V=50
75_part2_sec69_frame1944_player_2.jpg: H=120, S=18, V=42
75_part2_sec69_frame1956_player_0.jpg: H=132, S=27, V=48
75_part2_sec69_frame1956_player_1.jpg: H=170, S=20, V=38
75_part2_sec69_frame1980_player_1.jpg: H=90, S=11, V=23
75_part2_sec69_frame1992_player_2.jpg: H=90, S=12, V=22
75_part2_sec69_frame1992_player_5.jpg: H=0, S=93, V=44
75_part2_sec69_frame2004_player_2.jpg: H=30, S=20, V=26
75_part2_sec69_frame2016_player_1.jpg: H=177, S=55, V=46
75_part2_sec69_frame204_player_1.jpg: H=140, S=70, V=33
75_part2_sec69_frame204_player_3.jpg: H=116, S=156, V=36
75_part2_sec69_frame2040_player_2.jpg: H=175, S=53, V=29
75_part2_sec69_frame2040_player_3.jpg: H=3, S=71, V=43
75_part2_sec69_frame2052_player_2.jpg: H=15, S=59, V=26
75_part2_sec69_frame2064_player_2.jpg: H=38, S=34, V=30
75_part2_sec69_frame2064_player_5.jpg: H=10, S=32, V=24
75_part2_sec69_frame2076_player_5.jpg: H=10, S=85, V=36
75_part2_sec69_frame2088_player_4.jpg: H=90, S=25, V=31
75_part2_sec69_frame2136_player_0.jpg: H=140, S=49, V=31
75_part2_sec69_frame2136_player_1.jpg: H=144, S=33, V=39
75_part2_sec69_frame2148_player_0.jpg: H=133, S=58, V=31
75_part2_sec69_frame2148_player_1.jpg: H=145, S=38, V=40
75_part2_sec69_frame216_player_0.jpg: H=55, S=28, V=54
75_part2_sec69_frame216_player_2.jpg: H=3, S=46, V=55
75_part2_sec69_frame2160_player_0.jpg: H=137, S=58, V=31
75_part2_sec69_frame2160_player_1.jpg: H=140, S=39, V=39
75_part2_sec69_frame2172_player_2.jpg: H=21, S=50, V=36
75_part2_sec69_frame2172_player_3.jpg: H=50, S=32, V=24
75_part2_sec69_frame2172_player_4.jpg: H=45, S=28, V=37
75_part2_sec69_frame2172_player_6.jpg: H=160, S=48, V=16
75_part2_sec69_frame2184_player_0.jpg: H=24, S=31, V=41
75_part2_sec69_frame2184_player_3.jpg: H=25, S=45, V=34
75_part2_sec69_frame2184_player_4.jpg: H=10, S=28, V=27
75_part2_sec69_frame2184_player_6.jpg: H=130, S=21, V=36
75_part2_sec69_frame2184_player_7.jpg: H=14, S=74, V=45
75_part2_sec69_frame2184_player_9.jpg: H=158, S=64, V=16
75_part2_sec69_frame2196_player_0.jpg: H=36, S=36, V=35
75_part2_sec69_frame2196_player_3.jpg: H=10, S=35, V=44
75_part2_sec69_frame2196_player_6.jpg: H=127, S=85, V=27
75_part2_sec69_frame2196_player_7.jpg: H=2, S=123, V=29
75_part2_sec69_frame2196_player_8.jpg: H=155, S=70, V=22
75_part2_sec69_frame2196_player_10.jpg: H=15, S=70, V=44
75_part2_sec69_frame2208_player_0.jpg: H=38, S=29, V=35
75_part2_sec69_frame2208_player_2.jpg: H=0, S=58, V=35
75_part2_sec69_frame2208_player_3.jpg: H=9, S=51, V=50
75_part2_sec69_frame2208_player_4.jpg: H=13, S=46, V=39
75_part2_sec69_frame2208_player_6.jpg: H=2, S=132, V=58
75_part2_sec69_frame2208_player_7.jpg: H=109, S=51, V=40
75_part2_sec69_frame2208_player_8.jpg: H=127, S=85, V=27
75_part2_sec69_frame2208_player_10.jpg: H=14, S=75, V=44
75_part2_sec69_frame2208_player_11.jpg: H=156, S=75, V=17
75_part2_sec69_frame2208_player_12.jpg: H=169, S=66, V=31
75_part2_sec69_frame2220_player_0.jpg: H=38, S=29, V=35
75_part2_sec69_frame2220_player_1.jpg: H=30, S=29, V=35
75_part2_sec69_frame2220_player_4.jpg: H=9, S=88, V=29
75_part2_sec69_frame2220_player_8.jpg: H=15, S=83, V=37
75_part2_sec69_frame2220_player_9.jpg: H=131, S=76, V=27
75_part2_sec69_frame2232_player_0.jpg: H=162, S=49, V=26
75_part2_sec69_frame2232_player_1.jpg: H=12, S=59, V=43
75_part2_sec69_frame2232_player_5.jpg: H=7, S=64, V=36
75_part2_sec69_frame2244_player_0.jpg: H=176, S=55, V=37
75_part2_sec69_frame2244_player_2.jpg: H=12, S=55, V=46
75_part2_sec69_frame2256_player_0.jpg: H=38, S=85, V=48
75_part2_sec69_frame2256_player_2.jpg: H=41, S=71, V=50
75_part2_sec69_frame2256_player_9.jpg: H=32, S=68, V=56
75_part2_sec69_frame2256_player_10.jpg: H=36, S=108, V=59
75_part2_sec69_frame2256_player_11.jpg: H=30, S=51, V=45
75_part2_sec69_frame2268_player_1.jpg: H=32, S=82, V=53
75_part2_sec69_frame2268_player_2.jpg: H=34, S=73, V=59
75_part2_sec69_frame2268_player_4.jpg: H=39, S=80, V=51
75_part2_sec69_frame2268_player_8.jpg: H=30, S=109, V=56
75_part2_sec69_frame2268_player_13.jpg: H=30, S=63, V=53
75_part2_sec69_frame2268_player_14.jpg: H=32, S=78, V=46
75_part2_sec69_frame228_player_2.jpg: H=90, S=18, V=43
75_part2_sec69_frame228_player_3.jpg: H=53, S=45, V=45
75_part2_sec69_frame228_player_4.jpg: H=6, S=50, V=51
75_part2_sec69_frame2280_player_6.jpg: H=32, S=81, V=44
75_part2_sec69_frame2280_player_10.jpg: H=40, S=96, V=48
75_part2_sec69_frame2280_player_11.jpg: H=38, S=115, V=42
75_part2_sec69_frame2292_player_1.jpg: H=32, S=78, V=59
75_part2_sec69_frame2292_player_5.jpg: H=38, S=60, V=51
75_part2_sec69_frame2292_player_9.jpg: H=17, S=86, V=59
75_part2_sec69_frame2304_player_0.jpg: H=39, S=68, V=49
75_part2_sec69_frame2304_player_3.jpg: H=35, S=77, V=56
75_part2_sec69_frame2304_player_4.jpg: H=37, S=75, V=58
75_part2_sec69_frame2304_player_8.jpg: H=19, S=62, V=45
75_part2_sec69_frame2316_player_1.jpg: H=33, S=58, V=53
75_part2_sec69_frame2316_player_3.jpg: H=35, S=78, V=59
75_part2_sec69_frame2316_player_8.jpg: H=26, S=61, V=59
75_part2_sec69_frame2328_player_2.jpg: H=39, S=79, V=55
75_part2_sec69_frame2328_player_6.jpg: H=30, S=87, V=56
75_part2_sec69_frame2328_player_9.jpg: H=36, S=70, V=51
75_part2_sec69_frame2340_player_3.jpg: H=36, S=74, V=55
75_part2_sec69_frame2340_player_5.jpg: H=30, S=75, V=44
75_part2_sec69_frame2340_player_7.jpg: H=41, S=69, V=52
75_part2_sec69_frame2340_player_8.jpg: H=20, S=81, V=47
75_part2_sec69_frame2340_player_11.jpg: H=18, S=33, V=39
75_part2_sec69_frame2352_player_1.jpg: H=42, S=59, V=43
75_part2_sec69_frame2352_player_2.jpg: H=25, S=83, V=52
75_part2_sec69_frame2352_player_8.jpg: H=12, S=72, V=60
75_part2_sec69_frame2352_player_9.jpg: H=35, S=64, V=52
75_part2_sec69_frame2364_player_1.jpg: H=40, S=65, V=59
75_part2_sec69_frame2364_player_2.jpg: H=39, S=50, V=51
75_part2_sec69_frame2364_player_10.jpg: H=35, S=61, V=54
75_part2_sec69_frame2364_player_11.jpg: H=3, S=56, V=50
75_part2_sec69_frame2376_player_1.jpg: H=44, S=63, V=53
75_part2_sec69_frame2376_player_3.jpg: H=36, S=81, V=44
75_part2_sec69_frame2376_player_5.jpg: H=40, S=65, V=59
75_part2_sec69_frame2376_player_6.jpg: H=30, S=52, V=59
75_part2_sec69_frame2376_player_11.jpg: H=5, S=65, V=51
75_part2_sec69_frame2376_player_12.jpg: H=8, S=60, V=51
75_part2_sec69_frame2388_player_4.jpg: H=40, S=66, V=58
75_part2_sec69_frame2388_player_6.jpg: H=38, S=61, V=46
75_part2_sec69_frame2388_player_7.jpg: H=34, S=77, V=56
75_part2_sec69_frame2388_player_10.jpg: H=15, S=83, V=43
75_part2_sec69_frame24_player_2.jpg: H=90, S=46, V=55
75_part2_sec69_frame24_player_8.jpg: H=75, S=38, V=40
75_part2_sec69_frame24_player_11.jpg: H=2, S=87, V=47
75_part2_sec69_frame240_player_2.jpg: H=75, S=10, V=50
75_part2_sec69_frame240_player_4.jpg: H=40, S=19, V=41
75_part2_sec69_frame2400_player_8.jpg: H=18, S=83, V=52
75_part2_sec69_frame2412_player_5.jpg: H=37, S=95, V=59
75_part2_sec69_frame2424_player_1.jpg: H=38, S=94, V=60
75_part2_sec69_frame2424_player_3.jpg: H=32, S=74, V=55
75_part2_sec69_frame2436_player_2.jpg: H=36, S=87, V=56
75_part2_sec69_frame2436_player_10.jpg: H=24, S=68, V=56
75_part2_sec69_frame2436_player_11.jpg: H=35, S=58, V=57
75_part2_sec69_frame2448_player_2.jpg: H=39, S=84, V=58
75_part2_sec69_frame2448_player_8.jpg: H=30, S=114, V=56
75_part2_sec69_frame2448_player_13.jpg: H=35, S=65, V=43
75_part2_sec69_frame2460_player_2.jpg: H=39, S=76, V=54
75_part2_sec69_frame2460_player_3.jpg: H=25, S=114, V=58
75_part2_sec69_frame2460_player_4.jpg: H=32, S=79, V=55
75_part2_sec69_frame2460_player_10.jpg: H=39, S=85, V=51
75_part2_sec69_frame2472_player_4.jpg: H=32, S=109, V=47
75_part2_sec69_frame2472_player_5.jpg: H=48, S=65, V=39
75_part2_sec69_frame2472_player_6.jpg: H=39, S=71, V=50
75_part2_sec69_frame2472_player_8.jpg: H=32, S=93, V=44
75_part2_sec69_frame2472_player_10.jpg: H=30, S=99, V=44
75_part2_sec69_frame2472_player_11.jpg: H=23, S=119, V=47
75_part2_sec69_frame2472_player_14.jpg: H=24, S=105, V=51
75_part2_sec69_frame2472_player_16.jpg: H=40, S=113, V=54
75_part2_sec69_frame2484_player_2.jpg: H=32, S=96, V=45
75_part2_sec69_frame2484_player_3.jpg: H=38, S=100, V=46
75_part2_sec69_frame2484_player_5.jpg: H=28, S=70, V=51
75_part2_sec69_frame2484_player_6.jpg: H=34, S=105, V=34
75_part2_sec69_frame2484_player_11.jpg: H=36, S=98, V=39
75_part2_sec69_frame2484_player_12.jpg: H=33, S=98, V=57
75_part2_sec69_frame2484_player_13.jpg: H=26, S=89, V=46
75_part2_sec69_frame2484_player_14.jpg: H=29, S=106, V=48
75_part2_sec69_frame2484_player_16.jpg: H=46, S=82, V=53
75_part2_sec69_frame2496_player_0.jpg: H=35, S=88, V=52
75_part2_sec69_frame2496_player_4.jpg: H=30, S=95, V=43
75_part2_sec69_frame2496_player_6.jpg: H=23, S=113, V=52
75_part2_sec69_frame2496_player_7.jpg: H=28, S=83, V=52
75_part2_sec69_frame2496_player_8.jpg: H=39, S=92, V=36
75_part2_sec69_frame2496_player_10.jpg: H=33, S=88, V=58
75_part2_sec69_frame2496_player_14.jpg: H=27, S=110, V=44
75_part2_sec69_frame2508_player_1.jpg: H=33, S=58, V=48
75_part2_sec69_frame2508_player_2.jpg: H=32, S=95, V=43
75_part2_sec69_frame2508_player_4.jpg: H=38, S=87, V=53
75_part2_sec69_frame2508_player_7.jpg: H=28, S=108, V=45
75_part2_sec69_frame2508_player_8.jpg: H=38, S=97, V=58
75_part2_sec69_frame2508_player_11.jpg: H=38, S=85, V=36
75_part2_sec69_frame2508_player_14.jpg: H=37, S=85, V=51
75_part2_sec69_frame2508_player_16.jpg: H=34, S=72, V=53
75_part2_sec69_frame252_player_2.jpg: H=96, S=27, V=47
75_part2_sec69_frame252_player_4.jpg: H=30, S=8, V=33
75_part2_sec69_frame2520_player_1.jpg: H=44, S=83, V=40
75_part2_sec69_frame2520_player_3.jpg: H=42, S=83, V=52
75_part2_sec69_frame2520_player_4.jpg: H=32, S=78, V=49
75_part2_sec69_frame2520_player_7.jpg: H=39, S=88, V=55
75_part2_sec69_frame2520_player_8.jpg: H=37, S=98, V=57
75_part2_sec69_frame2520_player_10.jpg: H=30, S=74, V=52
75_part2_sec69_frame2520_player_11.jpg: H=30, S=92, V=47
75_part2_sec69_frame2520_player_13.jpg: H=35, S=80, V=54
75_part2_sec69_frame2520_player_15.jpg: H=34, S=101, V=58
75_part2_sec69_frame2532_player_1.jpg: H=43, S=95, V=43
75_part2_sec69_frame2532_player_2.jpg: H=35, S=96, V=53
75_part2_sec69_frame2532_player_4.jpg: H=39, S=77, V=53
75_part2_sec69_frame2532_player_6.jpg: H=29, S=112, V=50
75_part2_sec69_frame2532_player_7.jpg: H=39, S=87, V=56
